book_id,book_name,author,genre,price,quantity,publisher,published_year
1,Book Title 1,Author 444,Mystery,970.02,124,Publisher 121,1993
2,Book Title 2,Author 158,History,354.48,143,Publisher 63,2012
3,Book Title 3,Author 93,Romance,1354.9,172,Publisher 49,1988
4,Book Title 4,Author 50,Mystery,1489.86,98,Publisher 12,2012
5,Book Title 5,Author 250,Sci-Fi,1446.39,132,Publisher 182,2013
6,Book Title 6,Author 325,History,1217.46,181,Publisher 8,2006
7,Book Title 7,Author 221,Sci-Fi,411.97,104,Publisher 15,1992
8,Book Title 8,Author 351,Mystery,984.14,151,Publisher 200,1981
9,Book Title 9,Author 26,History,628.79,170,Publisher 71,1993
10,Book Title 10,Author 164,Fiction,1035.93,4,Publisher 21,1987
11,Book Title 11,Author 135,Fiction,840.24,189,Publisher 166,1987
12,Book Title 12,Author 326,Mystery,1093.48,80,Publisher 57,1991
13,Book Title 13,Author 393,Business,1477.11,26,Publisher 3,1996
14,Book Title 14,Author 222,Romance,482.58,41,Publisher 177,1995
15,Book Title 15,Author 417,History,758.22,55,Publisher 165,2003
16,Book Title 16,Author 386,Romance,1272.53,12,Publisher 136,1990
17,Book Title 17,Author 147,History,373.54,96,Publisher 70,2010
18,Book Title 18,Author 446,Business,812.39,123,Publisher 80,1988
19,Book Title 19,Author 242,Romance,528.87,14,Publisher 65,2023
20,Book Title 20,Author 305,Mystery,698.67,188,Publisher 114,1982
21,Book Title 21,Author 449,Mystery,495.03,146,Publisher 127,2002
22,Book Title 22,Author 452,Fiction,826.68,107,Publisher 16,2003
23,Book Title 23,Author 76,History,204.97,166,Publisher 194,2009
24,Book Title 24,Author 254,Mystery,756.51,181,Publisher 25,2024
25,Book Title 25,Author 200,Romance,107.37,81,Publisher 7,1984
26,Book Title 26,Author 395,History,224.56,42,Publisher 18,1985
27,Book Title 27,Author 186,Sci-Fi,476.07,49,Publisher 199,2007
28,Book Title 28,Author 389,Business,773.37,61,Publisher 32,2007
29,Book Title 29,Author 251,History,1264.74,112,Publisher 199,1993
30,Book Title 30,Author 45,Mystery,650.31,113,Publisher 123,2000
31,Book Title 31,Author 195,Business,666.68,17,Publisher 168,2012
32,Book Title 32,Author 38,Sci-Fi,513.42,5,Publisher 31,1994
33,Book Title 33,Author 142,Fantasy,656.04,182,Publisher 193,2023
34,Book Title 34,Author 485,History,666.37,29,Publisher 161,1993
35,Book Title 35,Author 194,Fantasy,1028.09,191,Publisher 111,2005
36,Book Title 36,Author 19,Fantasy,1434.59,77,Publisher 109,2011
37,Book Title 37,Author 472,Business,1437.01,95,Publisher 22,2019
38,Book Title 38,Author 81,Fiction,168.78,78,Publisher 111,1987
39,Book Title 39,Author 62,History,1464.79,42,Publisher 121,2007
40,Book Title 40,Author 308,Mystery,1339.54,86,Publisher 148,2016
41,Book Title 41,Author 425,Fiction,333.65,100,Publisher 186,2008
42,Book Title 42,Author 281,Fiction,1440.95,179,Publisher 144,2017
43,Book Title 43,Author 188,Romance,1080.96,60,Publisher 194,2007
44,Book Title 44,Author 358,Sci-Fi,1031.56,19,Publisher 157,1991
45,Book Title 45,Author 131,Romance,175.76,4,Publisher 101,1981
46,Book Title 46,Author 254,Business,601.53,138,Publisher 161,1983
47,Book Title 47,Author 405,Mystery,871.58,191,Publisher 77,2013
48,Book Title 48,Author 259,Fantasy,497.91,173,Publisher 2,2003
49,Book Title 49,Author 408,History,1359.43,163,Publisher 159,1995
50,Book Title 50,Author 292,Romance,1318.64,141,Publisher 69,2003
51,Book Title 51,Author 496,Fantasy,610.46,192,Publisher 69,2010
52,Book Title 52,Author 51,Fiction,420.56,172,Publisher 148,1996
53,Book Title 53,Author 45,Mystery,734.14,169,Publisher 4,2007
54,Book Title 54,Author 86,Sci-Fi,806.13,145,Publisher 83,1999
55,Book Title 55,Author 340,Fantasy,1166.2,126,Publisher 16,1998
56,Book Title 56,Author 403,Sci-Fi,241.4,171,Publisher 85,1990
57,Book Title 57,Author 19,Sci-Fi,652.42,107,Publisher 38,2002
58,Book Title 58,Author 453,Fiction,193.04,38,Publisher 161,1993
59,Book Title 59,Author 215,Fiction,297.58,165,Publisher 80,1988
60,Book Title 60,Author 411,History,276.23,59,Publisher 151,1995
61,Book Title 61,Author 182,Fantasy,279.26,102,Publisher 26,2010
62,Book Title 62,Author 373,Romance,918.91,1,Publisher 132,1980
63,Book Title 63,Author 124,Romance,426.91,123,Publisher 56,2016
64,Book Title 64,Author 141,Sci-Fi,1221.69,178,Publisher 192,1980
65,Book Title 65,Author 322,Business,1032.73,64,Publisher 88,1997
66,Book Title 66,Author 88,Fantasy,817.85,120,Publisher 132,1988
67,Book Title 67,Author 440,Sci-Fi,553.32,193,Publisher 98,2019
68,Book Title 68,Author 488,Fiction,1203.22,5,Publisher 25,1990
69,Book Title 69,Author 38,Fiction,675.2,140,Publisher 129,2004
70,Book Title 70,Author 143,Fantasy,1415.82,61,Publisher 53,1997
71,Book Title 71,Author 198,Mystery,1491.35,143,Publisher 84,2003
72,Book Title 72,Author 473,Romance,897.26,50,Publisher 116,2011
73,Book Title 73,Author 183,Business,310.35,80,Publisher 183,2007
74,Book Title 74,Author 369,Business,247.12,167,Publisher 188,2015
75,Book Title 75,Author 49,Sci-Fi,915.45,192,Publisher 29,2009
76,Book Title 76,Author 154,Romance,662.33,120,Publisher 137,2006
77,Book Title 77,Author 305,Fantasy,1273.69,200,Publisher 119,1991
78,Book Title 78,Author 382,History,447.07,68,Publisher 87,1981
79,Book Title 79,Author 13,Business,1220.23,49,Publisher 72,1989
80,Book Title 80,Author 346,Business,669.52,48,Publisher 151,1990
81,Book Title 81,Author 163,Romance,1463.34,13,Publisher 157,2021
82,Book Title 82,Author 167,Sci-Fi,344.77,178,Publisher 75,2017
83,Book Title 83,Author 73,Business,678.67,46,Publisher 117,1995
84,Book Title 84,Author 279,Fiction,738.48,114,Publisher 40,2007
85,Book Title 85,Author 284,Business,1381.06,62,Publisher 12,2013
86,Book Title 86,Author 174,History,249.32,85,Publisher 146,2013
87,Book Title 87,Author 67,Fantasy,229.26,100,Publisher 93,1991
88,Book Title 88,Author 128,Fiction,1249.2,173,Publisher 82,2012
89,Book Title 89,Author 13,Mystery,602.56,93,Publisher 154,1990
90,Book Title 90,Author 255,Romance,793.21,152,Publisher 87,2015
91,Book Title 91,Author 282,Mystery,316.34,166,Publisher 123,2016
92,Book Title 92,Author 376,Sci-Fi,1344.33,112,Publisher 3,2011
93,Book Title 93,Author 400,Business,1422.28,178,Publisher 44,1985
94,Book Title 94,Author 133,Fantasy,100.04,52,Publisher 45,2016
95,Book Title 95,Author 254,Fantasy,802.78,35,Publisher 136,1993
96,Book Title 96,Author 196,Fiction,1214.47,160,Publisher 108,2022
97,Book Title 97,Author 166,History,742.12,121,Publisher 64,2012
98,Book Title 98,Author 42,Sci-Fi,529.12,192,Publisher 139,1991
99,Book Title 99,Author 219,Sci-Fi,1099.04,103,Publisher 152,1998
100,Book Title 100,Author 61,Fantasy,1175.55,80,Publisher 142,2003
101,Book Title 101,Author 240,Sci-Fi,1293.53,65,Publisher 89,1981
102,Book Title 102,Author 311,Romance,576.44,179,Publisher 150,1982
103,Book Title 103,Author 30,Fantasy,1348.29,112,Publisher 156,2010
104,Book Title 104,Author 268,Sci-Fi,276.62,192,Publisher 111,1990
105,Book Title 105,Author 165,Fiction,118.02,48,Publisher 129,2005
106,Book Title 106,Author 15,Business,328.0,62,Publisher 169,2011
107,Book Title 107,Author 377,Sci-Fi,936.06,21,Publisher 38,1985
108,Book Title 108,Author 181,Romance,1326.01,95,Publisher 6,2005
109,Book Title 109,Author 194,Fantasy,935.33,195,Publisher 59,2001
110,Book Title 110,Author 396,Mystery,392.88,136,Publisher 154,2020
111,Book Title 111,Author 253,Business,349.26,101,Publisher 81,1992
112,Book Title 112,Author 168,Fiction,1272.68,155,Publisher 167,1986
113,Book Title 113,Author 146,Business,411.66,186,Publisher 126,1994
114,Book Title 114,Author 480,Fiction,960.66,189,Publisher 13,1980
115,Book Title 115,Author 440,Fiction,614.41,172,Publisher 66,2017
116,Book Title 116,Author 370,Fiction,349.64,36,Publisher 179,2005
117,Book Title 117,Author 142,Mystery,1258.52,131,Publisher 186,1981
118,Book Title 118,Author 53,Fiction,1372.76,175,Publisher 183,1997
119,Book Title 119,Author 451,History,1051.91,163,Publisher 185,2008
120,Book Title 120,Author 428,Romance,526.45,143,Publisher 171,1987
121,Book Title 121,Author 356,Fantasy,920.25,58,Publisher 94,1992
122,Book Title 122,Author 451,History,145.34,188,Publisher 89,2024
123,Book Title 123,Author 284,Mystery,1224.13,23,Publisher 1,1994
124,Book Title 124,Author 85,Mystery,1413.56,68,Publisher 190,1999
125,Book Title 125,Author 122,Fantasy,1065.42,200,Publisher 65,1992
126,Book Title 126,Author 19,History,1499.68,44,Publisher 55,2020
127,Book Title 127,Author 360,Fantasy,835.85,27,Publisher 162,2001
