order_id,customer_id,book_id,quantity,price,order_date,status
1,6619,4787,5,753.44,2018-01-01,Canceled
2,6826,1395,5,1214.15,2018-01-02,Canceled
3,1329,4112,3,3602.09,2018-01-03,Canceled
4,5465,2613,1,640.83,2018-01-04,Delivered
5,336,2537,2,813.46,2018-01-05,Canceled
6,6651,1132,3,2397.78,2018-01-06,Canceled
7,6034,1060,4,1641.85,2018-01-07,Delivered
8,3711,3114,2,847.47,2018-01-08,Delivered
9,1374,1523,5,3063.47,2018-01-09,Delivered
10,1981,2331,1,3739.31,2018-01-10,Delivered
11,4487,4452,4,1354.15,2018-01-11,Canceled
12,4923,4044,3,2973.64,2018-01-12,Pending
13,7134,4810,1,2585.8,2018-01-13,Canceled
14,4716,2098,1,3789.71,2018-01-14,Pending
15,6923,4237,2,2782.38,2018-01-15,Pending
16,4089,2431,5,985.37,2018-01-16,Delivered
17,6846,829,3,2344.88,2018-01-17,Delivered
18,5287,999,4,699.41,2018-01-18,Pending
19,5330,2730,2,3138.02,2018-01-19,Canceled
20,1051,2351,1,712.3,2018-01-20,Canceled
21,7639,876,1,4462.25,2018-01-21,Pending
22,3277,850,2,1021.9,2018-01-22,Pending
23,1079,4390,2,634.99,2018-01-23,Canceled
24,3501,4129,2,4950.83,2018-01-24,Delivered
25,1604,1466,1,4623.23,2018-01-25,Delivered
26,4549,757,4,4899.55,2018-01-26,Canceled
27,7810,4394,3,2452.84,2018-01-27,Pending
28,4568,1700,5,1654.65,2018-01-28,Delivered
29,2645,1242,1,1720.76,2018-01-29,Delivered
30,556,875,1,1735.24,2018-01-30,Delivered
31,6423,1703,4,850.1,2018-01-31,Pending
32,5136,244,2,2809.6,2018-02-01,Delivered
33,5619,102,5,1299.33,2018-02-02,Canceled
34,5954,4818,1,101.87,2018-02-03,Delivered
35,7576,4201,2,2431.5,2018-02-04,Delivered
36,7944,4833,2,4401.96,2018-02-05,Delivered
37,4684,4521,5,1338.83,2018-02-06,Canceled
38,913,3355,1,3158.81,2018-02-07,Delivered
39,6531,943,2,4876.37,2018-02-08,Canceled
40,1070,3651,2,3709.5,2018-02-09,Delivered
41,1614,4504,3,1062.76,2018-02-10,Delivered
42,2290,770,5,3503.82,2018-02-11,Delivered
43,346,2819,4,3971.01,2018-02-12,Delivered
44,2625,1191,5,3650.17,2018-02-13,Canceled
45,195,2395,4,1804.05,2018-02-14,Canceled
46,1248,4557,3,1243.83,2018-02-15,Delivered
47,7417,3713,5,1154.82,2018-02-16,Canceled
48,3406,4305,1,2851.15,2018-02-17,Pending
49,7212,2958,5,4873.94,2018-02-18,Pending
50,5124,4663,3,2514.07,2018-02-19,Delivered
51,5118,4592,2,906.38,2018-02-20,Delivered
52,3447,372,2,1408.39,2018-02-21,Pending
53,4522,3590,1,1325.05,2018-02-22,Canceled
54,6414,631,1,4042.91,2018-02-23,Pending
55,5887,2662,5,3893.51,2018-02-24,Pending
56,5384,2998,3,2295.68,2018-02-25,Pending
57,4624,3605,4,4480.9,2018-02-26,Pending
58,7664,3170,4,4932.96,2018-02-27,Pending
59,1952,1419,3,1899.69,2018-02-28,Delivered
60,1671,258,5,2508.57,2018-03-01,Canceled
61,2266,1327,4,2730.42,2018-03-02,Canceled
62,5926,3359,5,1243.83,2018-03-03,Canceled
63,2274,3480,3,4991.08,2018-03-04,Canceled
64,1972,900,5,4883.93,2018-03-05,Canceled
65,4486,3440,4,4215.46,2018-03-06,Canceled
66,7603,2962,2,3172.91,2018-03-07,Canceled
67,4281,926,3,2777.42,2018-03-08,Pending
68,1055,3720,1,4651.62,2018-03-09,Pending
69,7687,3262,4,4301.41,2018-03-10,Pending
70,604,2462,1,2607.73,2018-03-11,Delivered
71,3598,4845,4,4684.27,2018-03-12,Pending
72,5028,507,5,4331.46,2018-03-13,Canceled
73,280,1305,1,4588.22,2018-03-14,Delivered
74,1974,36,1,1730.22,2018-03-15,Pending
75,5706,2270,2,3473.28,2018-03-16,Pending
76,7675,1260,3,1951.8,2018-03-17,Delivered
77,3540,4964,5,414.18,2018-03-18,Delivered
78,4610,2920,2,1898.09,2018-03-19,Canceled
79,535,342,2,1941.65,2018-03-20,Canceled
80,2259,4391,2,2861.37,2018-03-21,Canceled
81,6425,4740,1,486.35,2018-03-22,Pending
82,207,2530,1,3425.83,2018-03-23,Canceled
83,6930,1650,3,4843.99,2018-03-24,Delivered
84,6336,4069,1,1180.16,2018-03-25,Canceled
85,5199,4492,2,2265.43,2018-03-26,Delivered
86,5775,3406,4,2820.85,2018-03-27,Pending
87,2319,4270,4,2806.97,2018-03-28,Delivered
88,7273,1516,1,4461.44,2018-03-29,Delivered
89,1685,1918,5,2393.2,2018-03-30,Delivered
90,1437,2044,5,4143.21,2018-03-31,Canceled
91,4452,1805,1,3372.12,2018-04-01,Pending
92,7922,4219,2,4993.61,2018-04-02,Delivered
93,2808,2242,4,3917.12,2018-04-03,Canceled
94,5904,4171,3,2600.56,2018-04-04,Pending
95,1142,4997,5,2644.78,2018-04-05,Canceled
96,1238,2648,5,3754.71,2018-04-06,Pending
97,3851,3502,2,2195.15,2018-04-07,Canceled
98,4544,3589,5,1220.81,2018-04-08,Canceled
99,3675,1901,2,4012.91,2018-04-09,Pending
100,860,141,2,2416.91,2018-04-10,Pending
101,2367,1658,3,4736.11,2018-04-11,Canceled
102,6783,1175,2,1879.46,2018-04-12,Pending
103,2434,4471,4,1284.86,2018-04-13,Pending
104,4968,3285,5,1137.38,2018-04-14,Pending
105,3490,1199,4,655.28,2018-04-15,Canceled
106,6886,3661,3,1711.56,2018-04-16,Delivered
107,4598,584,4,1013.76,2018-04-17,Canceled
108,5706,437,1,3064.35,2018-04-18,Pending
109,5874,4257,3,2599.47,2018-04-19,Canceled
110,7173,858,4,2850.96,2018-04-20,Canceled
111,2766,2663,2,1697.61,2018-04-21,Delivered
112,2847,4790,3,746.11,2018-04-22,Delivered
113,358,4416,3,4676.27,2018-04-23,Pending
114,1184,368,5,473.75,2018-04-24,Pending
115,2795,1853,3,3783.21,2018-04-25,Delivered
116,5607,77,5,2431.7,2018-04-26,Pending
117,2346,3750,1,1398.91,2018-04-27,Delivered
118,5440,2951,3,370.62,2018-04-28,Delivered
119,6390,2591,5,923.48,2018-04-29,Pending
120,763,3015,5,941.65,2018-04-30,Canceled
121,889,1765,1,1631.3,2018-05-01,Pending
122,4418,3665,5,4487.2,2018-05-02,Canceled
123,6230,4210,1,4602.9,2018-05-03,Delivered
124,1457,3582,2,2757.52,2018-05-04,Pending
125,1284,2592,5,2860.68,2018-05-05,Pending
126,6319,1057,4,1097.02,2018-05-06,Canceled
127,3120,2374,5,4869.79,2018-05-07,Pending
128,2993,317,3,839.87,2018-05-08,Delivered
129,7212,4241,4,156.99,2018-05-09,Delivered
130,3299,199,5,4472.33,2018-05-10,Canceled
131,3100,608,3,4346.82,2018-05-11,Delivered
132,5091,2845,4,3726.37,2018-05-12,Pending
133,1518,1954,1,4007.25,2018-05-13,Canceled
134,2159,2510,5,2966.64,2018-05-14,Delivered
135,4589,2814,4,275.46,2018-05-15,Canceled
136,2681,2402,1,4394.92,2018-05-16,Delivered
137,1089,4710,5,3828.15,2018-05-17,Pending
138,7163,2152,1,1067.21,2018-05-18,Canceled
139,4484,3499,5,4098.59,2018-05-19,Canceled
140,2565,3046,2,4027.54,2018-05-20,Pending
141,6895,4504,3,3869.13,2018-05-21,Delivered
142,4278,1209,1,2783.81,2018-05-22,Pending
143,6528,1479,2,3977.44,2018-05-23,Delivered
144,1997,4296,3,4570.37,2018-05-24,Canceled
145,3567,2483,5,1026.73,2018-05-25,Delivered
146,7857,1375,3,4252.15,2018-05-26,Canceled
147,724,457,1,2820.69,2018-05-27,Pending
148,6409,7,1,4394.0,2018-05-28,Pending
149,1375,616,5,545.56,2018-05-29,Pending
150,721,555,1,3083.91,2018-05-30,Canceled
151,6541,196,2,2471.14,2018-05-31,Pending
152,2060,4109,4,3577.9,2018-06-01,Pending
153,3772,3703,1,2889.05,2018-06-02,Pending
154,7805,315,5,3084.32,2018-06-03,Pending
155,1222,651,1,3741.66,2018-06-04,Pending
156,959,921,4,3850.08,2018-06-05,Canceled
157,7530,4671,4,2328.1,2018-06-06,Delivered
158,7387,4673,2,1362.83,2018-06-07,Delivered
159,6539,4610,1,915.18,2018-06-08,Pending
160,5669,1182,2,3049.17,2018-06-09,Pending
161,4532,3245,3,4685.41,2018-06-10,Canceled
162,3382,4060,2,1882.31,2018-06-11,Pending
163,3681,379,5,3349.96,2018-06-12,Canceled
164,5282,2014,5,3395.93,2018-06-13,Delivered
165,6481,4810,4,567.53,2018-06-14,Canceled
166,5930,3753,5,3755.12,2018-06-15,Delivered
167,7548,3225,4,3007.67,2018-06-16,Pending
168,1428,2588,4,4821.5,2018-06-17,Delivered
169,1924,4184,4,3098.74,2018-06-18,Pending
170,5837,751,5,4825.5,2018-06-19,Canceled
171,705,1055,2,3481.39,2018-06-20,Pending
172,6605,300,1,2214.93,2018-06-21,Canceled
173,5291,1229,3,1973.33,2018-06-22,Pending
174,1329,1703,4,4905.36,2018-06-23,Canceled
175,2718,764,1,695.74,2018-06-24,Pending
176,5527,4512,5,1914.51,2018-06-25,Canceled
177,4481,3826,3,4198.95,2018-06-26,Delivered
178,7883,856,4,4061.14,2018-06-27,Pending
179,4860,3624,1,2501.56,2018-06-28,Canceled
180,7063,4584,1,1528.84,2018-06-29,Pending
181,7153,2225,1,1397.04,2018-06-30,Canceled
182,2313,2005,4,2781.76,2018-07-01,Canceled
183,1576,4732,5,694.21,2018-07-02,Delivered
184,3407,2548,1,1393.58,2018-07-03,Delivered
185,5223,1358,5,228.89,2018-07-04,Canceled
186,6178,2334,3,2951.14,2018-07-05,Delivered
187,884,4037,1,435.26,2018-07-06,Delivered
188,7578,4192,4,865.02,2018-07-07,Canceled
189,133,2379,3,1506.08,2018-07-08,Canceled
190,6865,4059,5,3235.46,2018-07-09,Canceled
191,3277,2206,4,1895.0,2018-07-10,Delivered
192,1197,3828,3,4042.58,2018-07-11,Canceled
193,7378,923,5,3569.63,2018-07-12,Pending
194,2616,853,5,960.24,2018-07-13,Canceled
195,736,2096,4,834.88,2018-07-14,Pending
196,7185,2179,3,501.18,2018-07-15,Canceled
197,2989,3073,1,361.87,2018-07-16,Pending
198,2911,671,4,3160.99,2018-07-17,Pending
199,4014,1342,4,1903.61,2018-07-18,Pending
200,1198,3156,5,1049.26,2018-07-19,Pending
201,7704,2436,4,129.18,2018-07-20,Pending
202,4300,1269,5,2441.67,2018-07-21,Delivered
203,2316,3001,1,2077.24,2018-07-22,Delivered
204,4003,4717,4,1823.35,2018-07-23,Canceled
205,1972,2987,1,1965.51,2018-07-24,Pending
206,2284,2504,2,3741.26,2018-07-25,Delivered
207,7234,3417,2,3631.39,2018-07-26,Canceled
208,4761,1892,3,3301.73,2018-07-27,Pending
209,3787,313,4,1820.46,2018-07-28,Canceled
210,2539,1959,5,1067.34,2018-07-29,Canceled
211,6154,4134,3,1767.97,2018-07-30,Pending
212,2815,1045,1,3233.05,2018-07-31,Delivered
213,2834,3689,1,4227.25,2018-08-01,Canceled
214,2967,3422,1,870.17,2018-08-02,Canceled
215,6962,24,1,3576.25,2018-08-03,Pending
216,5420,1864,2,1322.25,2018-08-04,Canceled
217,681,3162,5,2868.89,2018-08-05,Canceled
218,878,3696,2,1809.19,2018-08-06,Pending
219,1879,73,5,2953.63,2018-08-07,Canceled
220,2909,2795,2,500.44,2018-08-08,Pending
221,5420,2037,3,2826.59,2018-08-09,Delivered
222,7705,870,5,3315.48,2018-08-10,Pending
223,3395,4978,2,3446.58,2018-08-11,Delivered
224,7898,865,3,526.24,2018-08-12,Pending
225,5776,4597,5,1042.3,2018-08-13,Delivered
226,5293,2448,2,2578.69,2018-08-14,Canceled
227,5300,4340,1,913.9,2018-08-15,Pending
228,3394,4657,1,702.06,2018-08-16,Canceled
229,2474,2846,1,3399.47,2018-08-17,Canceled
230,2329,1372,4,3033.04,2018-08-18,Pending
231,4017,4203,3,473.69,2018-08-19,Delivered
232,2990,328,1,2817.59,2018-08-20,Canceled
233,7990,1644,1,1858.23,2018-08-21,Canceled
234,6789,3727,5,2319.21,2018-08-22,Canceled
235,5117,629,3,4115.55,2018-08-23,Delivered
236,7611,2334,3,4095.85,2018-08-24,Delivered
237,3396,988,3,3835.0,2018-08-25,Delivered
238,2288,4553,1,3455.09,2018-08-26,Canceled
239,4862,4764,3,2934.82,2018-08-27,Delivered
240,3207,132,5,2270.75,2018-08-28,Delivered
241,842,3951,2,1265.02,2018-08-29,Pending
242,3278,4900,4,805.35,2018-08-30,Delivered
243,7952,3229,2,2052.59,2018-08-31,Delivered
244,1893,1311,5,577.28,2018-09-01,Delivered
245,7838,4610,5,1950.67,2018-09-02,Canceled
246,4612,595,3,4051.47,2018-09-03,Pending
247,7044,2538,5,1520.45,2018-09-04,Pending
248,1591,1205,5,3879.5,2018-09-05,Delivered
249,5555,305,4,3817.57,2018-09-06,Pending
250,1763,971,5,2920.24,2018-09-07,Canceled
251,1807,1751,4,3139.96,2018-09-08,Delivered
252,1659,2070,4,200.11,2018-09-09,Pending
253,1004,4267,4,2449.43,2018-09-10,Pending
254,799,3957,5,191.74,2018-09-11,Canceled
